2025-03-24 11:35:55,442 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(45.0, -140.0), points=4
2025-03-24 11:35:55,474 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(45.0, -140.0), points=4
2025-03-24 11:35:55,975 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(65.0, -60.0), end=PyQt6.QtCore.QPointF(45.0, -140.0), points=4
2025-03-24 11:35:55,975 - CircuitSimulator - DEBUG - 导线终点连接到: 电源
2025-03-24 11:35:57,248 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(-5.0, -140.0), end=PyQt6.QtCore.QPointF(-5.0, -140.0), points=4
2025-03-24 11:35:57,248 - CircuitSimulator - DEBUG - 创建新导线: start_pos=PyQt6.QtCore.QPointF(-5.0, -140.0)
2025-03-24 11:35:57,249 - CircuitSimulator - DEBUG - 导线起点连接到: 电源
2025-03-24 11:35:57,716 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(-5.0, -140.0), end=PyQt6.QtCore.QPointF(-5.0, -140.0), points=4
2025-03-24 11:35:57,721 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(-5.0, -140.0), end=PyQt6.QtCore.QPointF(1.0, -130.0), points=4
2025-03-24 11:35:57,728 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(-5.0, -140.0), end=PyQt6.QtCore.QPointF(5.0, -123.0), points=4
2025-03-24 11:35:57,737 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(-5.0, -140.0), end=PyQt6.QtCore.QPointF(8.0, -115.0), points=4
2025-03-24 11:35:57,746 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(-5.0, -140.0), end=PyQt6.QtCore.QPointF(12.0, -108.0), points=4
2025-03-24 11:35:57,752 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(-5.0, -140.0), end=PyQt6.QtCore.QPointF(15.0, -104.0), points=4
2025-03-24 11:35:57,757 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(-5.0, -140.0), end=PyQt6.QtCore.QPointF(15.0, -102.0), points=4
2025-03-24 11:35:57,766 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(-5.0, -140.0), end=PyQt6.QtCore.QPointF(15.0, -100.0), points=4
2025-03-24 11:35:57,776 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(-5.0, -140.0), end=PyQt6.QtCore.QPointF(15.0, -98.0), points=4
2025-03-24 11:35:57,791 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(-5.0, -140.0), end=PyQt6.QtCore.QPointF(16.0, -98.0), points=4
2025-03-24 11:35:57,795 - CircuitSimulator - DEBUG - 更新导线路径: start=PyQt6.QtCore.QPointF(-5.0, -140.0), end=PyQt6.QtCore.QPointF(17.0, -93.0), points=4
